19,Nuevo León,0,Estatal,1002000093,Población de 50 a 54 años. Mujeres,,,,,,,,,,50665,,,,,62012,,,,,73613,,,,,88484,,,,,113721,,,,,,,,,,169947,Número de personas
19,Nuevo León,0,Estatal,1002000094,Población de 55 a 59 años,,,,,,,,,,75104,,,,,96263,,,,,109729,,,,,134046,,,,,162140,,,,,,,,,,260045,Número de personas
19,Nuevo León,0,Estatal,1002000095,Población de 55 a 59 años. Hombres,,,,,,,,,,36957,,,,,47706,,,,,53878,,,,,65124,,,,,78944,,,,,,,,,,126971,Número de personas
19,Nuevo León,0,Estatal,1002000096,Población de 55 a 59 años. Mujeres,,,,,,,,,,38147,,,,,48557,,,,,55851,,,,,68922,,,,,83196,,,,,,,,,,133074,Número de personas
19,Nuevo León,0,Estatal,1002000097,Población de 60 a 64 años,,,,,,,,,,62398,,,,,77359,,,,,92626,,,,,108646,,,,,132607,,,,,,,,,,217238,Número de personas
19,Nuevo León,0,Estatal,1002000098,Población de 60 a 64 años. Hombres,,,,,,,,,,29546,,,,,37553,,,,,44938,,,,,52394,,,,,63516,,,,,,,,,,103697,Número de personas
19,Nuevo León,0,Estatal,1002000099,Población de 60 a 64 años. Mujeres,,,,,,,,,,32852,,,,,39806,,,,,47688,,,,,56252,,,,,69091,,,,,,,,,,113541,Número de personas
19,Nuevo León,0,Estatal,1002000100,Población de 65 a 69 años,,,,,,,,,,46095,,,,,57318,,,,,65875,,,,,83083,,,,,96803,,,,,,,,,,154408,Número de personas
19,Nuevo León,0,Estatal,1002000101,Población de 65 a 69 años. Hombres,,,,,,,,,,22190,,,,,27042,,,,,31411,,,,,39917,,,,,46293,,,,,,,,,,72766,Número de personas
19,Nuevo León,0,Estatal,1002000102,Población de 65 a 69 años. Mujeres,,,,,,,,,,23905,,,,,30276,,,,,34464,,,,,43166,,,,,50510,,,,,,,,,,81642,Número de personas
19,Nuevo León,0,Estatal,1002000103,Población de 70 a 74 años,,,,,,,,,,29882,,,,,41030,,,,,48611,,,,,59373,,,,,75631,,,,,,,,,,115822,Número de personas
19,Nuevo León,0,Estatal,1002000104,Población de 70 a 74 años. Hombres,,,,,,,,,,13885,,,,,19660,,,,,22607,,,,,27965,,,,,35695,,,,,,,,,,53640,Número de personas
19,Nuevo León,0,Estatal,1002000105,Población de 70 a 74 años. Mujeres,,,,,,,,,,15997,,,,,21370,,,,,26004,,,,,31408,,,,,39936,,,,,,,,,,62182,Número de personas
19,Nuevo León,0,Estatal,1002000106,Población de 75 a 79 años,,,,,,,,,,23068,,,,,25120,,,,,33324,,,,,40397,,,,,48049,,,,,,,,,,77327,Número de personas
19,Nuevo León,0,Estatal,1002000107,Población de 75 a 79 años. Hombres,,,,,,,,,,10578,,,,,11677,,,,,15550,,,,,18477,,,,,22136,,,,,,,,,,35523,Número de personas
19,Nuevo León,0,Estatal,1002000108,Población de 75 a 79 años. Mujeres,,,,,,,,,,12490,,,,,13443,,,,,17774,,,,,21920,,,,,25913,,,,,,,,,,41804,Número de personas
19,Nuevo León,0,Estatal,1002000109,Población de 80 a 84 años,,,,,,,,,,14384,,,,,16178,,,,,17528,,,,,24628,,,,,30455,,,,,,,,,,50350,Número de personas
19,Nuevo León,0,Estatal,1002000110,Población de 80 a 84 años. Hombres,,,,,,,,,,6381,,,,,7040,,,,,7667,,,,,10827,,,,,13075,,,,,,,,,,22069,Número de personas
19,Nuevo León,0,Estatal,1002000111,Población de 80 a 84 años. Mujeres,,,,,,,,,,8003,,,,,9138,,,,,9861,,,,,13801,,,,,17380,,,,,,,,,,28281,Número de personas
19,Nuevo León,0,Estatal,1002000112,Población de 85 a 89 años,,,,,,,,,,7963,,,,,9406,,,,,10634,,,,,11929,,,,,16005,,,,,,,,,,25023,Número de personas
19,Nuevo León,0,Estatal,1002000113,Población de 85 a 89 años. Hombres,,,,,,,,,,3447,,,,,4059,,,,,4424,,,,,5007,,,,,6629,,,,,,,,,,10300,Número de personas
19,Nuevo León,0,Estatal,1002000114,Población de 85 a 89 años. Mujeres,,,,,,,,,,4516,,,,,5347,,,,,6210,,,,,6922,,,,,9376,,,,,,,,,,14723,Número de personas
19,Nuevo León,0,Estatal,1002000115,Población de 90 a 94 años,,,,,,,,,,2486,,,,,3497,,,,,4154,,,,,4738,,,,,5394,,,,,,,,,,10365,Número de personas
19,Nuevo León,0,Estatal,1002000116,Población de 90 a 94 años. Hombres,,,,,,,,,,1061,,,,,1475,,,,,1677,,,,,1787,,,,,2066,,,,,,,,,,3903,Número de personas
19,Nuevo León,0,Estatal,1002000117,Población de 90 a 94 años. Mujeres,,,,,,,,,,1425,,,,,2022,,,,,2477,,,,,2951,,,,,3328,,,,,,,,,,6462,Número de personas
19,Nuevo León,0,Estatal,1002000118,Población de 95 a 99 años,,,,,,,,,,910,,,,,1256,,,,,1741,,,,,1817,,,,,1874,,,,,,,,,,3097,Número de personas
19,Nuevo León,0,Estatal,1002000119,Población de 95 a 99 años. Hombres,,,,,,,,,,382,,,,,538,,,,,664,,,,,709,,,,,695,,,,,,,,,,1133,Número de personas
19,Nuevo León,0,Estatal,1002000120,Población de 95 a 99 años. Mujeres,,,,,,,,,,528,,,,,718,,,,,1077,,,,,1108,,,,,1179,,,,,,,,,,1964,Número de personas
19,Nuevo León,0,Estatal,1002000127,Relación de dependencia,,,,,,,,,,61.7511,,,,,54.32354,,,,,53.45788,,,,,51.98835,,,,,50.18577,,,,,48.501654,,,,,46,Porcentaje
19,Nuevo León,0,Estatal,3105001001,Densidad de población,5.1,5.6,5.2,6.4,8.3,11.4,16.7,26.3,38.7,48,,,,,55.3,,,,,59.2,,,,,64.9,,,,,72.53,,,,,79.797404,,,,,90.1618468584052,Habitantes por kilómetro cuadrado
19,Nuevo León,0,Estatal,3105004001,Porcentaje de población en localidades de menos de 2 500 habitantes,,,,,,43.7,29.6,23.5,,8,,,,,7,,,,,6.6,,,,,5.6,,,,,5.3,,,,,,,,,,4.11614465146336,Porcentaje
19,Nuevo León,0,Estatal,6200240300,Porcentaje de hombres de 0 a 4 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3048374,,,,,3.98533897761307,Porcentaje
19,Nuevo León,0,Estatal,6200240310,Porcentaje de mujeres de 75 a 79 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6411834,,,,,0.724969694657415,Porcentaje
19,Nuevo León,0,Estatal,6200240311,Porcentaje de hombres de 10 a 14 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4584462,,,,,4.08240278444967,Porcentaje
19,Nuevo León,0,Estatal,6200240312,Porcentaje de mujeres de 5 a 9 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2813933,,,,,3.9564296751302,Porcentaje
19,Nuevo León,0,Estatal,6200240328,Porcentaje de mujeres de 55 a 59 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1598293,,,,,2.30778435429243,Porcentaje
19,Nuevo León,0,Estatal,6200240330,Porcentaje de hombres de 75 a 79 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5276976,,,,,0.616043882482905,Porcentaje
19,Nuevo León,0,Estatal,6200240341,Porcentaje de mujeres de 40 a 44 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7857237,,,,,3.54725985942483,Porcentaje
19,Nuevo León,0,Estatal,6200240342,Porcentaje de mujeres de 70 a 74 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9561634,,,,,1.07836727473896,Porcentaje
19,Nuevo León,0,Estatal,6200240343,Porcentaje de hombres de 15 a 19 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3481474,,,,,4.16628658535528,Porcentaje
19,Nuevo León,0,Estatal,6200240344,Porcentaje de mujeres de 85 años y más,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3248738,,,,,0.406724577762902,Porcentaje
19,Nuevo León,0,Estatal,6200240354,Porcentaje de mujeres de 10 a 14 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3341475,,,,,3.9421397739629,Porcentaje
19,Nuevo León,0,Estatal,6200240356,Porcentaje de mujeres de 20 a 24 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3909686,,,,,4.30592527977164,Porcentaje
19,Nuevo León,0,Estatal,6200240357,Porcentaje de hombres de 35 a 39 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8154834,,,,,3.74587908038243,Porcentaje
19,Nuevo León,0,Estatal,6200240377,Porcentaje de mujeres de 45 a 49 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1444816,,,,,3.35611508919916,Porcentaje
19,Nuevo León,0,Estatal,6200240378,Porcentaje de mujeres de 0 a 4 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1320472,,,,,3.90374433563232,Porcentaje
19,Nuevo León,0,Estatal,6200240379,Porcentaje de mujeres de 80 a 84 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4191195,,,,,0.490452299650903,Porcentaje
19,Nuevo León,0,Estatal,6200240384,Porcentaje de mujeres de 15 a 19 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2963123,,,,,4.01738720256108,Porcentaje
19,Nuevo León,0,Estatal,6200240388,Porcentaje de hombres de 65 a 69 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1532972,,,,,1.26191619944124,Porcentaje
19,Nuevo León,0,Estatal,6200240410,Porcentaje de hombres de 60 a 64 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5470369,,,,,1.79832509871998,Porcentaje
19,Nuevo León,0,Estatal,6200240411,Porcentaje de hombres de 85 años y más,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2211058,,,,,0.267970331112965,Porcentaje
19,Nuevo León,0,Estatal,6200240423,Porcentaje de hombres de 40 a 44 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7077657,,,,,3.55416202042554,Porcentaje
19,Nuevo León,0,Estatal,6200240425,Porcentaje de hombres de 70 a 74 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8452195,,,,,0.930230944919715,Porcentaje
19,Nuevo León,0,Estatal,6200240426,Porcentaje de mujeres de 60 a 64 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6249949,,,,,1.9690408597526,Porcentaje
19,Nuevo León,0,Estatal,6200240427,Porcentaje de mujeres de 65 a 69 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.291811,,,,,1.41584479502489,Porcentaje
19,Nuevo León,0,Estatal,6200240443,Porcentaje de mujeres de 35 a 39 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8904889,,,,,3.65259585419445,Porcentaje
19,Nuevo León,0,Estatal,6200240444,Porcentaje de hombres de 55 a 59 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9626564,,,,,2.20194543824387,Porcentaje
19,Nuevo León,0,Estatal,6200240445,Porcentaje de hombres de 5 a 9 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4581333,,,,,4.08717186554313,Porcentaje
19,Nuevo León,0,Estatal,6200240475,Porcentaje de hombres de 80 a 84 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3112063,,,,,0.382723093278024,Porcentaje
19,Nuevo León,0,Estatal,6200240486,Porcentaje de hombres de 25 a 29 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9616228,,,,,4.30915091280212,Porcentaje
19,Nuevo León,0,Estatal,6200240507,Porcentaje de mujeres de 50 a 54 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7927223,,,,,2.94724008941593,Porcentaje
19,Nuevo León,0,Estatal,6200240518,Porcentaje de hombres de 30 a 34 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.872676,,,,,3.93754411400011,Porcentaje
19,Nuevo León,0,Estatal,6200240520,Porcentaje de hombres de 20 a 24 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5560354,,,,,4.43148217837751,Porcentaje
19,Nuevo León,0,Estatal,6200240532,Porcentaje de hombres de 45 a 49 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0075907,,,,,3.36704062043144,Porcentaje
19,Nuevo León,0,Estatal,6200240533,Porcentaje de hombres de 50 a 54 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5876304,,,,,2.85263886263486,Porcentaje
19,Nuevo León,0,Estatal,6200240548,Porcentaje de mujeres de 25 a 29 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.946,,,,,4.15985266140738,Porcentaje
19,Nuevo León,0,Estatal,6200240549,Porcentaje de mujeres de 30 a 34 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9411508,,,,,3.83987333320616,Porcentaje
19,Nuevo León,0,Estatal,6205370864,Porcentaje de población que se considera afrodescendiente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4892263,,,,,1.68733647947373,Porcentaje
19,Nuevo León,0,Estatal,6207019006,Porcentaje de población que está registrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.073661,,,,,,Porcentaje
19,Nuevo León,0,Estatal,6207019008,Porcentaje de población que no está registrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6873908,,,,,,Porcentaje
19,Nuevo León,0,Estatal,6207019014,Porcentaje de población que se considera indígena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8811744,,,,,,Porcentaje
19,Nuevo León,0,Estatal,6207019021,Porcentaje de población que está registrada en otro país,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3690201,,,,,,Porcentaje
19,Nuevo León,0,Estatal,6207019025,Porcentaje de población que no posee nacionalidad mexicana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2924111,,,,,,Porcentaje
19,Nuevo León,0,Estatal,6207019053,Porcentaje de población que no especifica la condición de registro de nacimiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.869928,,,,,,Porcentaje
19,Nuevo León,0,Estatal,6207019061,Porcentaje de población en el ámbito geográfico de referencia respecto a la unidad geográfica superior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2830015,,,,,,Porcentaje
19,Nuevo León,0,Estatal,6207019063,Porcentaje de superficie en el ámbito geográfico de referencia respecto a la unidad geográfica superior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2721603,,,,,3.27219621467618,Porcentaje
19,Nuevo León,0,Estatal,6207020032,Porcentaje de hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.650454,,,,,49.9780272669343,Porcentaje
19,Nuevo León,0,Estatal,6207020033,Porcentaje de mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.349546,,,,,50.0219727330657,Porcentaje
19,Nuevo León,0,Estatal,6207020632,Población total en viviendas particulares habitadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5119504,,,,,,Número de personas
19,Nuevo León,0,Estatal,6207129629,Porcentaje de la población nacional/estatal que representa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.59031607466166,Porcentaje
19,Nuevo León,0,Estatal,6207129630,Promedio de ocupantes por dormitorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66135834482822,Promedio
19,Nuevo León,0,Estatal,6207129825,Población de la ubicación geográfica con la mayor cantidad de pobladores. Primer lugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1142994,Personas
19,Nuevo León,0,Estatal,6207129826,Población de la ubicación geográfica con la mayor cantidad de pobladores. Segundo lugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656464,Personas
19,Nuevo León,0,Estatal,6207129827,Población de la ubicación geográfica con la mayor cantidad de pobladores. Tercer lugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643143,Personas
19,Nuevo León,0,Estatal,6207129840,Total de áreas geográficas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,Municipios
19,Nuevo León,0,Estatal,6300000266,Población a mitad de año,,,,,,,,,,3236128,3308191,3378692,3448999,3519985,3591906,3663689,3735127,3806709,3876894,3950061,4026904,4103482,4180268,4254706,4330486,4408836,4487206,4566871,4646180,4723272.569,4797262.615,4868843.682,4941058.63,5013589.01,5085848.183,5157780.411,5229491.779,5300618.55856389,5370849.15045638,,Personas
19,Nuevo León,001,Abasolo,1002000001,Población total,,,,,,,,,,,,,,,1945,,,,,2514,,,,,2746,,,,,2791,,,,,,,,,,2974,Número de personas
19,Nuevo León,001,Abasolo,1002000002,Población total hombres,,,,,,,,,,,,,,,1004,,,,,1288,,,,,1378,,,,,1406,,,,,,,,,,1442,Número de personas
19,Nuevo León,001,Abasolo,1002000003,Población total mujeres,,,,,,,,,,,,,,,941,,,,,1226,,,,,1368,,,,,1385,,,,,,,,,,1532,Número de personas
19,Nuevo León,001,Abasolo,1002000004,Porcentaje de población de 15 a 29 años,,,,,,,,,,,,,,,30.7,,,,,28.6,,,,,25.9,,,,,23.9,,,,,25.00947329,,,,,,No especificada
